Event,Start Date,Start Time,End Date,End Time,Location,Category,Description,Facility
"Men's Soccer vs Quinnipiac","8/21/2025","8:00PM","8/21/2025","10:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Quinnipiac Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs Michigan State","8/25/2025","7:00PM","8/25/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Michigan State Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer at Georgetown","8/29/2025","7:30PM","8/29/2025","9:30?PM","Washington, DC","Men's Soccer","Men's Soccer at Georgetown Washington, DC",""
"Men's Soccer at Clemson","9/5/2025","6:00PM","9/5/2025","8:00?PM","Clemson, SC","Men's Soccer","Men's Soccer at Clemson Clemson, SC",""
"Men's Soccer vs Butler","9/8/2025","7:00PM","9/8/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Butler Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs Notre Dame","9/12/2025","7:00PM","9/12/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Notre Dame Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs Incarnate Word","9/15/2025","7:00PM","9/15/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Incarnate Word Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer at Maryland","9/19/2025","7:00PM","9/19/2025","9:00?PM","College Park, MD","Men's Soccer","Men's Soccer at Maryland College Park, MD",""
"Men's Soccer vs Mercyhurst","9/22/2025","7:00PM","9/22/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Mercyhurst Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs NC State","9/26/2025","7:30PM","9/26/2025","9:30?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs NC State Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer at Duke","10/3/2025","8:00PM","10/3/2025","10:00?PM","Durham, NC","Men's Soccer","Men's Soccer at Duke Durham, NC",""
"Men's Soccer at Stanford","10/11/2025","9:00PM","10/11/2025","11:00?PM","Stanford, CA","Men's Soccer","Men's Soccer at Stanford Stanford, CA",""
"Men's Soccer vs Denver","10/14/2025","7:00PM","10/14/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Denver Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs Syracuse","10/18/2025","7:00PM","10/18/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Syracuse Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer vs Wake Forest","10/24/2025","7:00PM","10/24/2025","9:00?PM","Pittsburgh, PA","Men's Soccer","Men's Soccer vs Wake Forest Pittsburgh, PA","Ambrose Urbanic Field"
"Men's Soccer at Louisville","10/31/2025","6:00PM","10/31/2025","8:00?PM","Louisville, KY","Men's Soccer","Men's Soccer at Louisville Louisville, KY",""
"Men's Soccer at Clemson","11/5/2025","7:00PM","11/5/2025","9:00?PM","Clemson, SC","Men's Soccer","Men's Soccer at Clemson Clemson, SC",""
"Men's Soccer at California","11/9/2025","2:00PM","11/9/2025","4:00?PM","Berkeley, CA","Men's Soccer","Men's Soccer at California Berkeley, CA",""
